SA1_7DIGITCODE_2016	HomeCensusNight	persons
1104319	1	406
1104320	0	21
1104320	1	440
1104321	0	11
1104321	1	346
1104322	0	18
1104322	1	328
1104323	0	39
1104323	1	422
1104324	0	19
1104324	1	503
1104325	0	13
1104325	1	426
1104326	0	21
1104326	1	546
1104327	0	8
1104327	1	379
1104328	0	18
1104328	1	247
1104329	0	20
1104329	1	283
1104330	0	31
1104330	1	590
1104401	0	16
1104401	1	308
1104402	0	24
1104402	1	343
1104403	0	15
1104403	1	224
1104404	0	39
1104404	1	626
1104405	0	7
1104405	1	275
1104406	0	5
1104406	1	271
1104407	0	19
1104407	1	414
1104408	0	11
1104408	1	282
1104409	0	15
1104409	1	298
1104410	0	13
1104410	1	230
1104411	0	11
1104411	1	300
1104412	0	36
1104412	1	613
1104414	0	7
1104414	1	478
1104415	0	17
1104415	1	380
1104416	0	35
1104416	1	686
1104417	0	28
1104417	1	505
1104418	1	8
1104419	0	13
1104419	1	450
1104420	0	5
1104420	1	300
1104421	0	23
1104421	1	307
1104422	0	7
1104422	1	445
1104423	0	37
1104423	1	486
1104424	0	12
1104424	1	272
1104425	0	3
1104425	1	210
1104426	0	16
1104426	1	402
1104427	0	13
1104427	1	255
1104428	0	15
1104428	1	372
1104429	0	34
1104429	1	496
1104430	0	15
1104430	1	282
1104431	0	16
1104431	1	284
1104432	0	9
1104432	1	288
1104433	0	21
1104433	1	330
1104434	0	39
1104434	1	606
1104435	0	4
1104435	1	305
1104436	0	20
1104436	1	443
1104437	0	16
1104437	1	274
1104438	0	20
1104438	1	420
